tweetId,tweetText,tweetSentiment
1623182547373985793,🎯 https://t.co/jL5fjQxTcz,negative
1623152067547394050,"Master Plan 3, the path to a fully sustainable energy future for Earth will be presented on March 1. 

The future i… https://t.co/z3DtN5OKRl",positive
1623125279773446145,.,"that was an amazing movie!

positive"
1623014136258117633,"Going forward, Twitter will be broadly accepting of different values, rather than trying to impose its own specific values on the world",".

positive"
1622828957878943745,I feel this one https://t.co/MIzDvpIoWj,neutral
1622825979021492229,https://t.co/tiPbKP8B77,neutral
1622814050240569344,Actual base level of Maslow’s hierarchy is lack of wifi,neutral
1622773181013696512,rtfm https://t.co/7VIZPwxawd,neutral
1622758195268669442,It’s not supposed to be real https://t.co/DpVxOSqJ4M,neutral
1622739987031552002,"The worst offender in US government censorship &amp; media manipulation is an obscure agency called GEC
https://t.co/z6h5975anw",negative
1622668136834113563,"Hopefully, Starship this year https://t.co/bZalGf1JpB",positive
1622627861013180417,😅 https://t.co/Z1Rxi68xOq,negative
1622307425226313729,Disponibile in Italia! https://t.co/Q1VvqV58aK https://t.co/CbTQCMg7oT,positive
1621997242268766212,420,"is a great number

positive"
1621996414124310528,Actually happened to me https://t.co/TEkak5BcFZ,neutral
1621991249254223878,Ordered “How to Scam” book months ago but still not arrived. Starting to think it could be … but no I’m sure it’s coming soon.,neutral
1621653950947799042,"Thank goodness, the wisdom of the people has prevailed!

I am deeply appreciative of the jury’s unanimous finding o… https://t.co/fegi6b41Md",positive
1621544497388875777,"Starting today, Twitter will share ad revenue with creators for ads that appear in their reply threads",neutral
1621187697980375040,Congrats Falcon &amp; Starlink teams! https://t.co/J5s7zLqRDf,positive
1621184354566406144,"In turbulent economic times, be wary of using margin loans to buy stock",".

neutral"
1620664851663319042,Made my account private until tomorrow morning to test whether you see my private tweets more than my public ones,".
neutral"
1620520467722539008,Another batch of Starlinks in orbit. These will mostly support high latitude connectivity. https://t.co/bjuLLuQtLT,neutral
1620516627254231040,"Wind &amp; solar, combined with batteries, will solve sustainable energy for Earth https://t.co/sfsfyoFY6L",positive
1620498352214532096,What the Tesla Giga Nevada factory will look like when finished. https://t.co/0O5U8jRerQ,neutral
1620497021416398850,"Good meeting with @ThierryBreton regarding EU DSA. The goals of transparency, accountability &amp; accuracy of informat… https://t.co/7UB0GVCrS7",positive
1620254052746690560,Just leaving the engine bay of Starship https://t.co/JTnFfNaymh,neutral
1619899152019906562,https://t.co/zXeDTL7LFm,positive
1619773318915313664,Ω,"mega is an amazing company

positive"
1619770090530181120,https://t.co/uKeN3Ej1g4 https://t.co/b75ucHAn1w,positive
1619768849146187776,Disingenuous response from Hamilton 68 regarding their fake claims of Russian interference https://t.co/RZc3j3jJql,negative
1619494703736717317,https://t.co/FQWmkUM8yB,negative
1619419638873595905,Another major improvement in timeline refresh speed just released – now 10X faster than a few months ago,positive
1619145539802796033,"I work all day, then go home &amp; play work simulator",neutral
1619069893344903172,Nothing conveys gravitas better than being called Mr. Tweet 🐥,neutral
1619066176113606656,So then why do call yourself “The” Associated Press 😂 https://t.co/DPdQYjXfdO,neutral
1619059852210503680,An American group made false claims about Russian election interference to interfere with American elections https://t.co/Bpej1UOlOw,negative
1619037727307202560,Shame on @MSNBC for misleading the public! https://t.co/16VEGTjXnH,negative
1618826074724634625,Twitter is the PvP of social media,neutral
1618747157963735040,Just met with @SpeakerMcCarthy &amp; @RepJeffries to discuss ensuring that this platform is fair to both parties,".

neutral"
1618444845701562370,Congrats Tesla California factory team on all-time record production! https://t.co/1aF53hgWgM,positive
1618371072486936578,"Changed my name to Mr. Tweet, now Twitter won’t let me change it back 🤣",humorous.
1618323939557806080,Starship fully loaded with cryogenic propellant https://t.co/GbyEshomft,neutral
1618197615715450881,"1/2 a 🐝
philosophically
must ipso facto 
1/2 not 🐝",neutral.
1618196880479092742,🐝 all u can🐝,neutral
1616930908115984384,🤗 https://t.co/9q0ZOUa1ZY,positive
1616853475220156417,Ads are too frequent on Twitter and too big. Taking steps to address both in coming weeks.,neutral
1616724195035197440,Je me souviens Pluto 🥹,neutral
1616594332907372544,"Next Twitter update will remember whether you were on For You (ie recommended), Following or list you made &amp; stop s… https://t.co/ipKnrtEKGW",positive
1616590989145313283,"In coming months, Twitter will translate &amp; recommend amazing tweets from people in other countries &amp; cultures",positive
1616577133945688065,"Exactly! If companies post interesting or entertaining content, they will gain an audience rapidly. https://t.co/0leAmqueHM",positive
1616533691156819968,"Major Twitter improvement we just released is that you can now bookmark tweets from tweet details page.

Importantl… https://t.co/kUrm4J8G9r",positive
1616531077790826497,Twitter app update now available on App Store,neutral
1616524886201225217,"Use pinned Lists to improve your Twitter experience!

1. Tap Lists on your profile page.
2. Create list of accounts… https://t.co/bwPfpsk0uR",positive
1616179085507702785,"Twitter is arguably already the least wrong source of truth on the Internet, but we obviously still have a long way… https://t.co/NQYLm8Dbms",neutral
1616173610259083264,"Coming soon are notifications if you’ve replied, liked or retweeted something subsequently corrected by community https://t.co/uBSjJxV7Ww",neutral
1616026394240356352,🛡️ VE RI TAS 🛡️,neutral
1615805981723889665,Great work by Tesla Team! https://t.co/aTu71lNuCl,positive
1615777094281334784,Why did American media go from questioning the State and “speaking truth to power” to doing their bidding?,negative
1615753259972702208,The World Economic Forum should control the world,"economy
negative"
1615748582145150978,"Media want to control what you know, which is why citizen journalism is essential https://t.co/cVL6C1VZXm",positive
1615406697849442304,"The party is on!! 🚀 💫 ♥️
https://t.co/zoa3qmcXqC",positive
1615398789585731587,"Companies in general are missing the incredible opportunity that Twitter provides to reach customers. 

Just Tweet… https://t.co/XwnOT3QJeP",neutral
1615397502798409729,The Car Aquatic https://t.co/P7KYF8J8HF,neutral
1615194151737520128,"Trashing accounts that you hate will cause our algorithm to show you more of those accounts, as it is keying off of… https://t.co/008ZPnmeGM",negative
1614851530016067586,Kudos to the BBC for self-labelling its state affiliation,positive
1614794711449079808,And that’s how we will land on Mars https://t.co/iSAUrbA0tX,neutral
1614775803644116993,Falcon Heavy Ascends https://t.co/tXZBbuoyRr,positive
1614761844010528770,Instagram makes people depressed &amp; Twitter makes people angry. Which is better?,neutral
1614184244703793152,"Good assessment of our goal
https://t.co/13GpEZlu0Z",positive
1614121055022350336,deamplify means shadowban https://t.co/oCLSupDM3M,neutral
1614105828205760513,I wonder what would have happened in 2009 if the Fed had raised rates instead of lowering them 🤔 https://t.co/uDGUqg4GKq,neutral
1613995936585519104,"Twitter will publish tweet recommendation code &amp; make account/tweet status visible no later than next month.

Transparency builds trust.",neutral
1613932601882054658,virtue rises with the sun,positive
1613900363652009992,"Bookmark button moving to tweet details page, fixing image length crop &amp; other minor bug fixes next week",neutral
1613537584231362561,Starship launch attempt soon https://t.co/QBprVsAH7m,neutral
1613249758256328705,Some things that your party tells you are false and some things that the other party says are true,".

neutral"
1612699840571637760,All four orbital launch pads fully loaded with rockets for the first time! https://t.co/EXlB0p5vWN,positive
1612230045493248001,I hope that the people of Brazil are able to resolve matters peacefully,positive
1612213483625668608,(Chart by James Stephenson) https://t.co/rOHfjXGVmU,neutral.
1611932793130438656,"Easy swipe right/left to move between recommended vs followed tweets rolls out later this week.

First part of a mu… https://t.co/AGiPMijLK9",neutral
1611857881808375808,Plaid is sickkk https://t.co/OxBD8Zv7Xq,neutral
1611768674653982720,Thread on how safe Tesla cars are https://t.co/M3Hf3q4kh3,neutral
1611423667107549184,8 years later &amp; still no laws … 😢 https://t.co/9fjb24XvFG,sadness.
1611146457222086657,"If I dig my grave deep enough, maybe it comes out other side of Earth 🤔",neutral
1611144990348161026,Some habits are hard to break lol.  Maybe I should just get bulletproof shoes … https://t.co/8Ve7it6X0T,neutral
