,tweetId,tweetText,tweetLength,tweetCount@,tweetCount#,tweetAttachments,tweetContextAnnotations,tweetConversationId,tweetCreatedAt,tweetReplyToUserId,tweetLanguage,tweetImpressionCount,tweetLikeCount,tweetReplyCount,tweetRetweetCount,tweetPossiblySensitive,tweetSource
0,1623182547373985793,🎯 https://t.co/jL5fjQxTcz,25,0,0,{'media_keys': ['3_1623182543620132869']},"Business Taxonomy, Person, Interests and Hobbies Vertical, Interests and Hobbies Category, Unified Twitter Taxonomy, ",1623182547373985793,08-02-2023,,und,13225708,247095,7649,24663,False,
1,1623152067547394050,"Master Plan 3, the path to a fully sustainable energy future for Earth will be presented on March 1. 

The future is bright! https://t.co/11ug0LRlbD",148,0,0,{'media_keys': ['3_1623152059745996806']},"Business Taxonomy, Person, Interests and Hobbies Vertical, Interests and Hobbies Category, Unified Twitter Taxonomy, ",1623152067547394050,08-02-2023,,en,11119504,116185,7502,15262,False,
2,1623125279773446145,.,1,0,0,,"Business Taxonomy, Person, Interests and Hobbies Vertical, Interests and Hobbies Category, Unified Twitter Taxonomy, ",1623125279773446145,08-02-2023,,qst,43560280,270144,40148,18299,False,
3,1623014136258117633,"Going forward, Twitter will be broadly accepting of different values, rather than trying to impose its own specific values on the world",135,0,0,,"Business Taxonomy, Person, Entities [Entity Service], Brand, Interests and Hobbies Vertical, Interests and Hobbies Category, Unified Twitter Taxonomy, ",1623014136258117633,07-02-2023,,en,28390011,385542,31692,37351,False,
4,1622828957878943745,I feel this one https://t.co/MIzDvpIoWj,39,0,0,,"Business Taxonomy, Person, Interests and Hobbies Vertical, Interests and Hobbies Category, Unified Twitter Taxonomy, ",1622828957878943745,07-02-2023,,en,8654014,44983,4668,3522,False,
5,1622825979021492229,https://t.co/tiPbKP8B77,23,0,0,{'media_keys': ['3_1622825970385453057']},"Business Taxonomy, Person, Interests and Hobbies Vertical, Interests and Hobbies Category, Unified Twitter Taxonomy, ",1622825979021492229,07-02-2023,,zxx,30877378,230873,13669,20994,False,
6,1622814050240569344,Actual base level of Maslow’s hierarchy is lack of wifi,55,0,0,,"Business Taxonomy, Entities [Entity Service], Unified Twitter Taxonomy, Technology, Person, Interests and Hobbies Vertical, Interests and Hobbies Category, ",1622814050240569344,07-02-2023,,en,14169719,107108,5842,9541,False,
7,1622773181013696512,rtfm https://t.co/7VIZPwxawd,28,0,0,,"Business Taxonomy, Person, Interests and Hobbies Vertical, Interests and Hobbies Category, Unified Twitter Taxonomy, ",1622773181013696512,07-02-2023,,in,6034747,24997,1723,2364,False,
8,1622758195268669442,It’s not supposed to be real https://t.co/DpVxOSqJ4M,52,0,0,{'media_keys': ['3_1622758189602156546']},"Business Taxonomy, Person, Interests and Hobbies Vertical, Interests and Hobbies Category, Unified Twitter Taxonomy, ",1622758195268669442,07-02-2023,,en,10327008,58648,4895,5537,False,
9,1622739987031552002,"The worst offender in US government censorship &amp; media manipulation is an obscure agency called GEC
https://t.co/z6h5975anw",127,0,0,,"Business Taxonomy, Person, Interests and Hobbies Vertical, Interests and Hobbies Category, Unified Twitter Taxonomy, ",1622739987031552002,06-02-2023,,en,12216064,107813,4700,26523,False,
10,1622668136834113563,"Hopefully, Starship this year https://t.co/bZalGf1JpB",53,0,0,,"Business Taxonomy, Person, Interests and Hobbies Vertical, Interests and Hobbies Category, Unified Twitter Taxonomy, ",1622668136834113563,06-02-2023,,en,7958725,34324,3070,2884,False,
11,1622627861013180417,😅 https://t.co/Z1Rxi68xOq,25,0,0,,"Business Taxonomy, Person, Entities [Entity Service], Brand, Interests and Hobbies Vertical, Interests and Hobbies Category, Unified Twitter Taxonomy, ",1622627861013180417,06-02-2023,,art,8790091,35552,3805,3053,False,
12,1622307425226313729,Disponibile in Italia! https://t.co/Q1VvqV58aK https://t.co/CbTQCMg7oT,70,0,0,{'media_keys': ['3_1622307420516106246']},"Business Taxonomy, Person, Interests and Hobbies Vertical, Interests and Hobbies Category, Unified Twitter Taxonomy, ",1622307425226313729,05-02-2023,,it,20483953,112010,8395,9617,False,
13,1621997242268766212,420,3,0,0,,"Business Taxonomy, Person, Interests and Hobbies Vertical, Interests and Hobbies Category, Unified Twitter Taxonomy, ",1621997242268766212,04-02-2023,,qst,72025852,545130,41324,52292,False,
14,1621996414124310528,Actually happened to me https://t.co/TEkak5BcFZ,47,0,0,{'media_keys': ['3_1621996406482288640']},"Business Taxonomy, Person, Interests and Hobbies Vertical, Interests and Hobbies Category, Unified Twitter Taxonomy, ",1621996414124310528,04-02-2023,,en,27083736,307501,17211,22883,False,
15,1621991249254223878,Ordered “How to Scam” book months ago but still not arrived. Starting to think it could be … but no I’m sure it’s coming soon.,126,0,0,,"Business Taxonomy, Person, Interests and Hobbies Vertical, Interests and Hobbies Category, Unified Twitter Taxonomy, ",1621991249254223878,04-02-2023,,en,25924655,276194,18313,18529,False,
16,1621653950947799042,"Thank goodness, the wisdom of the people has prevailed!

I am deeply appreciative of the jury’s unanimous finding of innocence in the Tesla 420 take-private case.",162,0,0,,"Business Taxonomy, Person, Entities [Entity Service], Brand, Interests and Hobbies Vertical, Interests and Hobbies Category, Unified Twitter Taxonomy, ",1621653950947799042,03-02-2023,,en,20532210,264993,14947,19005,False,
17,1621544497388875777,"Starting today, Twitter will share ad revenue with creators for ads that appear in their reply threads",102,0,0,,"Business Taxonomy, Person, Entities [Entity Service], Brand, Interests and Hobbies Vertical, Interests and Hobbies Category, Unified Twitter Taxonomy, ",1621544497388875777,03-02-2023,,en,53841586,324659,15505,29174,False,
18,1621187697980375040,Congrats Falcon &amp; Starlink teams! https://t.co/J5s7zLqRDf,61,0,0,,"Entities [Entity Service], Business Taxonomy, Brand, Product, Interests and Hobbies Category, Unified Twitter Taxonomy, Fields of study, Person, Interests and Hobbies Vertical, Events [Entity Service], ",1621187697980375040,02-02-2023,,en,8325694,52898,3365,4650,False,
19,1621184354566406144,"In turbulent economic times, be wary of using margin loans to buy stock",71,0,0,,"Business Taxonomy, Unified Twitter Taxonomy, Person, Interests and Hobbies Vertical, Interests and Hobbies Category, ",1621184354566406144,02-02-2023,,en,23564078,172511,10938,13622,False,
20,1620664851663319042,Made my account private until tomorrow morning to test whether you see my private tweets more than my public ones,113,0,0,,"Business Taxonomy, Person, Entities [Entity Service], Brand, Interests and Hobbies Vertical, Interests and Hobbies Category, Unified Twitter Taxonomy, ",1620664851663319042,01-02-2023,,en,36282535,701556,35183,3325,False,
21,1620520467722539008,Another batch of Starlinks in orbit. These will mostly support high latitude connectivity. https://t.co/bjuLLuQtLT,114,0,0,,"Business Taxonomy, Brand, Product, Unified Twitter Taxonomy, Person, Interests and Hobbies Vertical, Interests and Hobbies Category, ",1620520467722539008,31-01-2023,,en,8867357,48860,3462,3273,False,
22,1620516627254231040,"Wind &amp; solar, combined with batteries, will solve sustainable energy for Earth https://t.co/sfsfyoFY6L",106,0,0,,"Business Taxonomy, Person, Interests and Hobbies Vertical, Interests and Hobbies Category, Unified Twitter Taxonomy, ",1620516627254231040,31-01-2023,,en,15117215,52513,9934,4900,False,
23,1620498352214532096,What the Tesla Giga Nevada factory will look like when finished. https://t.co/0O5U8jRerQ,88,0,0,{'media_keys': ['3_1620498342772985856']},"Business Taxonomy, Person, Entities [Entity Service], Brand, Interests and Hobbies Vertical, Interests and Hobbies Category, Unified Twitter Taxonomy, States, ",1620498352214532096,31-01-2023,,en,19100933,230428,12397,11589,False,
24,1620497021416398850,"Good meeting with @ThierryBreton regarding EU DSA. The goals of transparency, accountability &amp; accuracy of information are aligned with ours.

@CommunityNotes will be transformational for the latter.",203,2,0,,"Business Taxonomy, Person, Interests and Hobbies Vertical, Interests and Hobbies Category, Unified Twitter Taxonomy, ",1620497021416398850,31-01-2023,,en,6325771,27794,1708,2232,False,
25,1620254052746690560,Just leaving the engine bay of Starship https://t.co/JTnFfNaymh,63,0,0,{'media_keys': ['3_1620254044957839360']},"Business Taxonomy, Person, Interests and Hobbies Vertical, Interests and Hobbies Category, Unified Twitter Taxonomy, ",1620254052746690560,31-01-2023,,en,16205239,267308,12401,16308,False,
26,1619899152019906562,https://t.co/zXeDTL7LFm,23,0,0,{'media_keys': ['3_1619881223534288896']},"Business Taxonomy, Person, Interests and Hobbies Vertical, Interests and Hobbies Category, Unified Twitter Taxonomy, ",1619899152019906562,30-01-2023,,zxx,44106024,509000,25801,61609,False,
27,1619773318915313664,Ω,1,0,0,,"Business Taxonomy, Person, Interests and Hobbies Vertical, Interests and Hobbies Category, Unified Twitter Taxonomy, ",1619773318915313664,29-01-2023,,qst,47064709,214785,27740,13733,False,
28,1619770090530181120,https://t.co/b75ucHAn1w https://t.co/uKeN3Ej1g4,47,0,0,{'media_keys': ['3_1619770083995181056']},"Business Taxonomy, Entities [Entity Service], Unified Twitter Taxonomy, Fields of study, Person, Interests and Hobbies Vertical, Interests and Hobbies Category, ",1619770090530181120,29-01-2023,,zxx,22695557,136264,5776,19597,False,
29,1619768849146187776,Disingenuous response from Hamilton 68 regarding their fake claims of Russian interference https://t.co/RZc3j3jJql,114,0,0,,"Business Taxonomy, Person, Interests and Hobbies Vertical, Interests and Hobbies Category, Unified Twitter Taxonomy, ",1619768849146187776,29-01-2023,,en,8669709,45374,2151,7226,False,
30,1619494703736717317,https://t.co/FQWmkUM8yB,23,0,0,{'media_keys': ['3_1619494697352716290']},"Business Taxonomy, Person, Interests and Hobbies Vertical, Interests and Hobbies Category, Unified Twitter Taxonomy, ",1619494703736717317,29-01-2023,,zxx,25271765,374045,15092,25765,False,
31,1619419638873595905,Another major improvement in timeline refresh speed just released – now 10X faster than a few months ago,104,0,0,,"Business Taxonomy, Person, Interests and Hobbies Vertical, Interests and Hobbies Category, Unified Twitter Taxonomy, ",1619419638873595905,28-01-2023,,en,14670015,147365,10330,10714,False,
32,1619145539802796033,"I work all day, then go home &amp; play work simulator",54,0,0,,"Business Taxonomy, Person, Interests and Hobbies Vertical, Interests and Hobbies Category, Unified Twitter Taxonomy, ",1619145539802796033,28-01-2023,,en,35410329,373052,25493,21757,False,
33,1619069893344903172,Nothing conveys gravitas better than being called Mr. Tweet 🐥,61,0,0,,"Business Taxonomy, Person, Entities [Entity Service], Brand, Interests and Hobbies Vertical, Interests and Hobbies Category, Unified Twitter Taxonomy, ",1619069893344903172,27-01-2023,,en,15997325,183723,13957,11104,False,
34,1619066176113606656,So then why do call yourself “The” Associated Press 😂 https://t.co/DPdQYjXfdO,77,0,0,{'media_keys': ['3_1619066169029234703']},"Business Taxonomy, Brand, Unified Twitter Taxonomy, Person, Interests and Hobbies Vertical, Interests and Hobbies Category, ",1619066176113606656,27-01-2023,,en,16727921,144245,9606,15476,False,
35,1619059852210503680,An American group made false claims about Russian election interference to interfere with American elections https://t.co/Bpej1UOlOw,132,0,0,,"Business Taxonomy, Person, Interests and Hobbies Vertical, Interests and Hobbies Category, Unified Twitter Taxonomy, ",1619059852210503680,27-01-2023,,en,8479789,79771,4316,19938,False,
36,1619037727307202560,Shame on @MSNBC for misleading the public! https://t.co/16VEGTjXnH,66,1,0,,"Brand Vertical, Entities [Entity Service], Business Taxonomy, Unified Twitter Taxonomy, Person, Interests and Hobbies Vertical, Interests and Hobbies Category, ",1619037727307202560,27-01-2023,,en,8994012,74993,5433,18416,False,
37,1618826074724634625,Twitter is the PvP of social media,34,0,0,,"Business Taxonomy, Person, Entities [Entity Service], Brand, Interests and Hobbies Vertical, Interests and Hobbies Category, Unified Twitter Taxonomy, ",1618826074724634625,27-01-2023,,en,30778660,277531,15501,26011,False,
38,1618747157963735040,Just met with @SpeakerMcCarthy &amp; @RepJeffries to discuss ensuring that this platform is fair to both parties,112,2,0,,"Person, Politician, Business Taxonomy, Unified Twitter Taxonomy, Interests and Hobbies Vertical, Interests and Hobbies Category, ",1618747157963735040,26-01-2023,,en,16203853,192514,19406,16276,False,
39,1618444845701562370,Congrats Tesla California factory team on all-time record production! https://t.co/1aF53hgWgM,93,0,0,{'media_keys': ['3_1618444833059930113']},"Business Taxonomy, Person, Entities [Entity Service], Brand, Interests and Hobbies Vertical, Interests and Hobbies Category, Unified Twitter Taxonomy, States, ",1618444845701562370,26-01-2023,,en,13928756,172673,8217,9079,False,
40,1618371072486936578,"Changed my name to Mr. Tweet, now Twitter won’t let me change it back 🤣",71,0,0,,"Business Taxonomy, Person, Entities [Entity Service], Brand, Interests and Hobbies Vertical, Interests and Hobbies Category, Unified Twitter Taxonomy, ",1618371072486936578,25-01-2023,,en,81122964,917006,63795,56659,False,
41,1618323939557806080,Starship fully loaded with cryogenic propellant https://t.co/GbyEshomft,71,0,0,{'media_keys': ['3_1618323930082861056']},"Business Taxonomy, Person, Interests and Hobbies Vertical, Interests and Hobbies Category, Unified Twitter Taxonomy, ",1618323939557806080,25-01-2023,,en,10045155,132180,7069,10264,False,
42,1618197615715450881,"1/2 a 🐝
philosophically
must ipso facto 
1/2 not 🐝",50,0,0,,"Business Taxonomy, Person, Interests and Hobbies Vertical, Interests and Hobbies Category, Unified Twitter Taxonomy, ",1618197615715450881,25-01-2023,,en,9755535,43594,5980,3276,False,
43,1618196880479092742,🐝 all u can🐝,12,0,0,,"Business Taxonomy, Person, Interests and Hobbies Vertical, Interests and Hobbies Category, Unified Twitter Taxonomy, ",1618196880479092742,25-01-2023,,en,38187308,324066,20119,32791,False,
44,1616930908115984384,🤗 https://t.co/9q0ZOUa1ZY,25,0,0,,"Business Taxonomy, Person, Interests and Hobbies Vertical, Interests and Hobbies Category, Unified Twitter Taxonomy, ",1616930908115984384,21-01-2023,,art,21542111,196016,11579,11744,False,
45,1616853475220156417,Ads are too frequent on Twitter and too big. Taking steps to address both in coming weeks.,90,0,0,,"Business Taxonomy, Person, Entities [Entity Service], Brand, Interests and Hobbies Vertical, Interests and Hobbies Category, Unified Twitter Taxonomy, ",1616853475220156417,21-01-2023,,en,26996494,258335,15005,15593,False,
46,1616724195035197440,Je me souviens Pluto 🥹,22,0,0,,"Business Taxonomy, Person, Interests and Hobbies Vertical, Interests and Hobbies Category, Unified Twitter Taxonomy, ",1616724195035197440,21-01-2023,,fr,37679192,159628,13663,9046,False,
47,1616594332907372544,"Next Twitter update will remember whether you were on For You (ie recommended), Following or list you made &amp; stop switching you back to recommended tweets",158,0,0,,"Business Taxonomy, Person, Entities [Entity Service], Brand, Interests and Hobbies Vertical, Interests and Hobbies Category, Unified Twitter Taxonomy, ",1616594332907372544,21-01-2023,,en,11297451,77038,5639,6799,False,
48,1616590989145313283,"In coming months, Twitter will translate &amp; recommend amazing tweets from people in other countries &amp; cultures",117,0,0,,"Business Taxonomy, Person, Entities [Entity Service], Brand, Interests and Hobbies Vertical, Interests and Hobbies Category, Unified Twitter Taxonomy, ",1616590989145313283,21-01-2023,,en,30787134,294459,19141,25553,False,
49,1616577133945688065,"Exactly! If companies post interesting or entertaining content, they will gain an audience rapidly. https://t.co/0leAmqueHM",123,0,0,,"Business Taxonomy, Person, Entities [Entity Service], Brand, Interests and Hobbies Vertical, Interests and Hobbies Category, Unified Twitter Taxonomy, ",1616577133945688065,20-01-2023,,en,8708493,36385,2225,3391,False,
50,1616533691156819968,"Major Twitter improvement we just released is that you can now bookmark tweets from tweet details page.

Importantly, bookmarks are *private*, unlike likes. No one other than you can see your bookmarks.",202,0,0,,"Business Taxonomy, Person, Entities [Entity Service], Brand, Interests and Hobbies Vertical, Interests and Hobbies Category, Unified Twitter Taxonomy, ",1616533691156819968,20-01-2023,,en,17918135,132737,7852,11271,False,
51,1616531077790826497,Twitter app update now available on App Store,45,0,0,,"Business Taxonomy, Brand, Product, Person, Entities [Entity Service], Interests and Hobbies Vertical, Interests and Hobbies Category, Unified Twitter Taxonomy, ",1616531077790826497,20-01-2023,,en,18288613,137997,7980,10418,False,
